LENGTH,replicate,Nstart,Nleaf_24h,Nbridge_24h,Ndead_24h
4,1,10,8,0,2
4,2,10,10,0,0
4,3,10,7,2,1
4,4,10,9,0,1
4,5,10,4,1,5
8,1,10,10,0,0
8,2,10,9,0,1
8,3,10,7,0,3
8,4,10,6,1,3
8,5,10,7,1,2
16,1,10,6,2,2
16,2,10,7,0,3
16,3,10,5,0,5
16,4,10,1,2,7
16,5,10,7,0,3
32,1,10,3,1,6
32,2,10,9,0,1
32,3,10,5,0,5
32,4,10,4,1,5
32,5,10,6,0,4
