,disp_mort,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
45,0.15,0.01207546,0.001418391,0.010657069,8.51348898,0.495432455,0.413988894,0.093499974,77.942,98.329,123.104
46,0.15,0.013797007,0.001724373,0.012072634,8.00117537,0.516102691,0.459445017,0.095015098,76.887,97.716,121.196
47,0.15,0.012843443,0.001577325,0.011266118,8.142547531,0.493586449,0.433847713,0.1014929,78.285,97.646,121.9
48,0.15,0.012515631,0.001746819,0.010768812,7.16481125,0.500727513,0.427577151,0.092370734,77.412,97.514,121.584
49,0.15,0.013372215,0.001702817,0.011669397,7.852993738,0.505612086,0.451297827,0.095661313,78.034,97.742,121.792
50,0.15,0.01263927,0.001828878,0.010810392,6.910942336,0.510840269,0.415891813,0.099125554,76.987,97.687,120.136
51,0.15,0.012492384,0.001234152,0.011258232,10.12224111,0.511886762,0.412737349,0.09669136,77.243,97.948,121.576
52,0.15,0.012682157,0.00181042,0.010871737,7.00509149,0.509766914,0.426670328,0.092211194,77.727,97.287,121.5
53,0.15,0.01138643,0.00135902,0.010027409,8.378411068,0.477101439,0.405012195,0.091172366,77.921,98.868,124.232
54,0.15,0.01136013,0.001562288,0.009797842,7.271469206,0.466373977,0.404530188,0.097412278,77.427,97.738,123.264
55,0.15,0.012645367,0.001507228,0.011138139,8.389815307,0.501366963,0.432450451,0.091989221,77.935,98.219,121.7
56,0.15,0.012598101,0.001550638,0.011047463,8.124463685,0.492681224,0.430188077,0.098139947,77.205,98.121,121.6
57,0.15,0.012048319,0.00159442,0.010453899,7.556551576,0.487078235,0.420621641,0.092631148,77.814,97.8,123.1
58,0.15,0.011903539,0.001535113,0.010368426,7.754176134,0.482642811,0.419319922,0.092222914,77.704,98.842,121.964
59,0.15,0.012723182,0.001550014,0.011173168,8.208429653,0.490479259,0.433874175,0.10017563,77.74,97.881,121.828
60,0.2,0.013511475,0.001724407,0.011787068,7.835431569,0.539270781,0.433571906,0.092421646,75.531,95.603,117.968
61,0.2,0.013039702,0.001356242,0.01168346,9.614585345,0.527538822,0.427599305,0.090615656,75.836,95.167,117.608
62,0.2,0.013076338,0.001628867,0.011447472,8.02787582,0.522250116,0.422152116,0.099394077,76.525,95.746,118.488
63,0.2,0.013476431,0.001681279,0.011795151,8.015580801,0.519902534,0.435422914,0.102044275,75.864,94.829,116.62
64,0.2,0.012314983,0.001446101,0.010868882,8.515990108,0.485639078,0.426454351,0.097048621,75.593,95.243,119.376
65,0.2,0.012721669,0.001349012,0.011372657,9.430361529,0.52313566,0.416638123,0.093312809,75.451,94.815,119.884
66,0.2,0.01326351,0.001679744,0.011583766,7.896148405,0.507915936,0.438649225,0.100723464,76.358,95.146,117.916
67,0.2,0.013058782,0.001746919,0.011311864,7.475323409,0.505816949,0.441533646,0.093939858,76.017,94.616,118.04
68,0.2,0.01322767,0.00158974,0.01163793,8.320650832,0.507998785,0.442641254,0.097316851,75.345,95.624,119.912
69,0.2,0.01245361,0.001869558,0.010584052,6.661259631,0.509736394,0.418758463,0.091677362,76.115,95.129,118.164
70,0.2,0.012859995,0.001586938,0.011273057,8.103652103,0.505240273,0.438337326,0.091222433,75.654,95.162,118.628
71,0.2,0.012705793,0.001433601,0.011272193,8.862854306,0.49704255,0.434326746,0.094921027,76.184,95.591,119.228
72,0.2,0.013005492,0.001881593,0.011123899,6.911958238,0.512652066,0.441944412,0.087178304,76.665,95.369,117.232
73,0.2,0.013490457,0.001734954,0.011755503,7.77568454,0.529704454,0.438252192,0.094396946,75.511,94.958,118.616
74,0.2,0.012750441,0.001666456,0.011083985,7.651229608,0.510411223,0.428258352,0.092612704,75.581,95.532,117.256
75,0.2,0.012736705,0.001703666,0.011033039,7.476057132,0.508724179,0.425163947,0.095761101,75.568,94.903,119.024
76,0.2,0.013155296,0.001507604,0.011647692,8.725963564,0.515579303,0.441653733,0.090998516,75.219,95.788,117.076
77,0.2,0.013118829,0.00146215,0.011656679,8.972286586,0.532478529,0.423418784,0.092926682,77.238,95.75,119.964
78,0.2,0.013347705,0.00185619,0.011491516,7.190917219,0.523677086,0.432531812,0.098559721,75.652,96.077,117.3
79,0.2,0.01315796,0.001676052,0.011481908,7.850567133,0.508280611,0.443774414,0.093903624,75.512,95.672,117.996
80,0.25,0.01333211,0.001589273,0.011742837,8.38880787,0.52867077,0.432614289,0.094121495,75.172,93.682,116.448
81,0.25,0.013490395,0.001382065,0.01210833,9.761042335,0.528108484,0.441470383,0.092142349,74.162,92.067,114.7
82,0.25,0.013530939,0.001491933,0.012039006,9.069402388,0.531059401,0.43734561,0.094577432,73.909,92.596,112.732
83,0.25,0.013455364,0.001564597,0.011890768,8.599893112,0.517106564,0.450969709,0.090646121,74.989,92.725,116.4
84,0.25,0.014086848,0.001827328,0.01225952,7.708987483,0.525490721,0.444131309,0.10836301,75.367,92.602,113.204
85,0.25,0.013560827,0.001802183,0.011758644,7.524668409,0.508537884,0.447458379,0.101802252,75.191,92.286,116.196
86,0.25,0.014733476,0.00200987,0.012723606,7.33056254,0.544906146,0.46012037,0.101334911,75.816,93.401,114.732
87,0.25,0.01402162,0.001800167,0.012221453,7.78906553,0.535997293,0.440847651,0.102912666,75.366,93.187,116.564
88,0.25,0.013580059,0.001730627,0.011849432,7.846900115,0.523749666,0.443049725,0.096493049,74.196,92.954,114.916
89,0.25,0.014299586,0.001903434,0.012396152,7.512519584,0.527515383,0.46487982,0.096994931,74.087,92.502,114.064
90,0.25,0.014295673,0.001835485,0.012460188,7.788500301,0.560878034,0.434554626,0.099066082,75.208,92.935,114.376
91,0.25,0.0133377,0.001655692,0.011682008,8.055665877,0.513311948,0.434610343,0.102977339,74.499,93.139,115.864
92,0.25,0.012860441,0.001443486,0.011416955,8.909291744,0.503742259,0.436970623,0.093226367,74.069,92.626,115.356
93,0.25,0.013819827,0.001605005,0.012214822,8.610455714,0.517185821,0.458258236,0.09469988,75.508,92.672,114.868
94,0.25,0.013336262,0.001991089,0.011345173,6.697973993,0.515711261,0.437574875,0.099235693,74.015,93.302,115.496
95,0.25,0.013030295,0.001712185,0.01131811,7.610331344,0.515885693,0.439616582,0.08839154,73.595,93.268,114.144
96,0.25,0.01354505,0.001734689,0.011810361,7.80834358,0.533273497,0.437174222,0.093576788,74.159,93.449,112.424
